"","x","y","z","w","w_se","w_sd","t","t_se","t_sd","off_wfbod","off_rodp","off_decoff","off_mkoff","cat"
"468",1,256,4096,911947761606.4,3463378940.84893,10952165853.3442,911753850231.4,3163154729.29631,10002773536.1097,10,0,0,0,"OMP"
"476",2,256,4096,905356766835.1,3179218112.27792,10053570413.2591,679803937518,4784764766.78118,15130754731.1529,10,0,0,0,"OMP"
"485",4,256,4096,907073269340.7,5403945386.31136,17088775771.9024,407610442424.9,930168936.071902,2941452446.72276,10,0,0,0,"OMP"
"494",6,256,4096,908889150014.2,9359689796.55273,29597937949.7446,299195610627.4,6363645852.0187,20123615115.0619,10,0,0,0,"OMP"
"503",8,256,4096,901688463600.5,5229555128.75996,16537305356.2966,219626266209.8,14680311995.2252,46423222666.8026,10,0,0,0,"OMP"
"512",10,256,4096,909111016320.8,4918354211.49417,15553201647.8031,228338417794.1,17416233866.8425,55074967281.3841,10,0,0,0,"OMP"
"521",12,256,4096,906758576536.3,7806075243.39799,24684977355.7909,211294813156,12466931391.4937,39423898630.1724,10,0,0,0,"OMP"
"530",14,256,4096,1030692753745.8,74384575726.9498,235224682082.436,215824363846.1,13166088058.1465,41634826138.0862,10,0,0,0,"OMP"
"539",16,256,4096,1000756165718.6,23515246376.7734,74361738290.6259,154646118076.8,8370048413.78084,26468417113.4269,10,0,0,0,"OMP"
"548",18,256,4096,992724530841.6,47352148886.9534,149740642586.18,166240363664,8737340848.23648,27629897773.6549,10,0,0,0,"OMP"
"557",20,256,4096,1111518543587.2,123527096594.529,390626977986.341,179228828048.3,20057273354.2007,63426667451.8793,10,0,0,0,"OMP"
"566",22,256,4096,914927436066.7,14007410423.2922,44295321058.3866,160199487742.8,10273168841.2885,32486612325.9445,10,0,0,0,"OMP"
"575",24,256,4096,936874947250,61887793137.3918,195706385675.496,160872725272.3,12198658506.0196,38575545277.6088,10,0,0,0,"OMP"
"935",1,256,4096,0,0,0,363132891689.667,17301774508.947,29967552510.5963,0,3,3,3,"OMP+OFF"
"944",2,256,4096,0,0,0,615465993942.333,112979822212.156,195686792301.553,0,3,3,3,"OMP+OFF"
"953",4,256,4096,0,0,0,387505104988.5,3890315569,5501737039.591,2,0,0,0,"OMP+OFF"
"962",6,256,4096,0,0,0,323878110354,41043899666,58044839560.3377,2,0,0,0,"OMP+OFF"
"971",8,256,4096,0,0,0,240456956391.5,20610945881,29148279198.2481,2,0,0,0,"OMP+OFF"
"980",10,256,4096,0,0,0,200578368047,74390842928,105204538985.144,2,0,0,0,"OMP+OFF"
"989",12,256,4096,0,0,0,193101910272,5454514770,7713848763.89836,2,0,0,0,"OMP+OFF"
"998",14,256,4096,0,0,0,192819637983.5,11562728621,16352167633.8578,2,0,0,0,"OMP+OFF"
"1007",16,256,4096,0,0,0,162236672701.5,43023481859,60844391545.5106,2,0,0,0,"OMP+OFF"
"1016",18,256,4096,0,0,0,167255970017,42137253650,59591075592.9852,2,0,0,0,"OMP+OFF"
"1025",20,256,4096,0,0,0,166596015272.5,36579475405,51731190222.2441,2,0,0,0,"OMP+OFF"
"1034",22,256,4096,0,0,0,166889036317.5,39816476947,56309001704.3631,2,0,0,0,"OMP+OFF"
"1043",24,256,4096,0,0,0,182496545795,31718633128,44856921149.5541,2,0,0,0,"OMP+OFF"
